Ticker,Date,Close,Prev20High,R1,R3,R5,R10,RSI,RVOL,OBV_Up,MFI,Squeeze,Tight,NR7,BaseWeeks,VolSurge
360ONE.NS,2026-05-25,1142.4000244140625,1134.9000244140625,-1.496846570421606,-2.6523151418581192,-5.567224634694656,-7.659313561804126,69.55812926671875,1.33,True,72.63462071748397,False,False,False,3,False
AADHARHFC.NS,2026-06-15,488.95001220703125,486.3999938964844,-0.8078560401709844,-0.5112997111331397,,,55.67282321899736,1.77,True,42.09703441874292,False,True,False,5,True
AADHARHFC.NS,2026-06-19,515.0999755859375,496.0,,,,,70.10395015671196,7.8,True,73.14578283986137,False,False,False,5,True
AAVAS.NS,2026-06-17,1452.4000244140625,1444.800048828125,1.0465402724023631,,,,62.05203090144018,0.48,True,72.75600730194445,False,False,False,0,False
AAVAS.NS,2026-06-18,1467.5999755859375,1460.9000244140625,0.2929986985321431,,,,68.5654745781964,0.22,True,75.99929540090149,False,False,True,0,False
ABDL.NS,2026-06-11,608.4500122070312,589.6500244140625,5.916673395965133,3.5006964196955703,4.001968131714362,,73.14725030625257,5.09,True,81.79806531628029,False,True,False,2,True
ABDL.NS,2026-06-12,644.4500122070312,612.0,-2.5758454971928746,-2.2034311332233214,-2.0482600600511325,,78.30852258044575,4.65,True,90.04356451975875,False,True,False,1,True
ABSLAMC.NS,2026-06-10,1110.300048828125,1089.5,-3.7557481228790546,3.224347039847286,-1.116817424906913,,69.08855652254232,1.43,True,80.67846390938642,False,True,False,4,True
ABSLAMC.NS,2026-06-15,1146.0999755859375,1119.699951171875,-2.2249367893898864,1.8323008853799116,,,71.97410096825311,1.66,True,84.00715968415126,False,False,False,2,True
ABSLAMC.NS,2026-06-19,1180.5999755859375,1170.0999755859375,,,,,73.02310605143224,0.74,True,84.96114832627985,False,False,True,1,False
ACE.NS,2026-06-12,931.0499877929688,926.25,-0.22554917710867484,3.334943150213876,4.790294528311745,,61.74651759957285,1.87,True,52.75648352489516,False,False,False,4,True
ACE.NS,2026-06-17,962.0999755859375,953.0,1.491532791314576,,,,63.390073171973754,2.01,True,59.1573639870082,False,False,False,1,True
ACE.NS,2026-06-18,976.4500122070312,966.5,-0.08192818710305305,,,,72.69345512916385,1.43,True,70.02447415707677,False,False,False,0,True
ACMESOLAR.NS,2026-06-02,334.75,324.3999938964844,-1.70276690277259,6.542193845103617,4.167292668269229,1.463777116201448,84.6613683062944,4.98,True,93.34207554504593,False,False,False,1,True
ACMESOLAR.NS,2026-06-04,345.8500061035156,337.8999938964844,3.1227374880358427,0.8240584222116709,-3.2962248649121784,-4.033544010652957,88.69805123772831,0.92,True,97.14650369240991,False,False,False,0,True
ACMESOLAR.NS,2026-06-05,356.6499938964844,347.6000061035156,-1.2337008192299215,-5.537642040653534,-5.86008530888984,-5.327351836578087,90.26327279342652,1.12,True,98.53813318312785,False,False,False,0,True
ACUTAAS.NS,2026-05-21,3000.39990234375,2909.800048828125,-1.6397797884689536,1.1465187176383784,0.006672287662179421,5.475938347411047,75.53097613944095,1.87,True,82.13019639841542,False,False,False,2,True
ACUTAAS.NS,2026-05-26,3034.800048828125,3025.0,-1.1269260123111247,3.2193208646349447,0.09226468904290908,5.400682078117125,70.47642102669734,1.06,True,68.81847923169266,False,False,False,2,False
ACUTAAS.NS,2026-05-29,3132.5,3075.300048828125,-3.6264995261372723,0.10215326965283822,6.2506001222067065,0.408620872406229,68.02417261062064,2.14,True,67.15002276930703,False,False,False,1,False
ACUTAAS.NS,2026-06-05,3328.300048828125,3188.10009765625,-0.3635518877124766,-3.644504613423727,-5.498302356016049,-2.4667276523087756,76.73268266958445,2.7,True,78.04963386038366,False,True,False,2,True
ADANIENSOL.NS,2026-05-27,1540.0999755859375,1489.0,0.0,-2.8309834606256468,-3.051749934748138,-0.29218882353971853,69.25013054830288,2.11,True,58.432232385176896,False,False,False,0,True
ADANIENT.NS,2026-05-25,2848.42626953125,2801.847302651897,4.196936116554206,4.3302934031727025,2.094958204888697,4.221500804737821,75.336549773037,1.62,True,82.02673010146964,False,False,False,1,False
ADANIENT.NS,2026-05-26,2967.972900390625,2857.5222998725158,0.12798580417883176,-1.0743272683959915,-0.04040531333160402,0.3569848916866958,76.59969383965897,2.15,True,83.0348761488816,False,False,False,1,True
ADANIENT.NS,2026-06-05,3046.837646484375,3026.1470765945096,-2.5654481180738875,-3.841609596656115,-4.110410968980627,-0.2769344848538635,78.64445464753275,2.6,True,77.45064056907242,False,True,False,2,True
ADANIGREEN.NS,2026-05-27,1489.9000244140625,1471.0,0.0,-2.8860996909447545,-4.188202120380713,-0.46311996113806986,64.39935477533521,2.0,True,77.60544552121479,False,False,False,1,False
ADANIPOWER.NS,2026-05-26,244.52999877929688,234.60000610351562,1.7911932706325073,-0.4743809217274575,-3.516953398947853,-7.520549413753741,61.13922269092013,2.49,True,53.93698406072283,False,False,False,1,True
ADANIPOWER.NS,2026-05-27,248.91000366210938,245.6999969482422,0.0,-6.673094839892146,-6.584708990602706,-11.381624448293415,62.91390616940874,1.79,True,57.94119304091084,False,False,False,0,True
AEGISLOG.NS,2026-06-10,801.0,792.2999877929688,15.593011787024036,22.883893607112206,25.711612010865316,,70.26877105111663,9.1,True,85.81069472536961,False,True,False,1,True
AEGISLOG.NS,2026-06-11,925.9000244140625,832.9000244140625,1.9980558928818892,6.458579351567906,8.74824472018556,,83.35815906973528,28.09,True,96.02778007301025,False,False,False,1,True
AEGISLOG.NS,2026-06-15,984.2999877929688,976.4000244140625,0.14223554113839132,2.296051701856494,,,89.82247982183516,0.62,True,97.83405714723837,False,False,False,0,True
AEGISLOG.NS,2026-06-17,1006.9500122070312,1005.0,-0.004964277507601977,,,,90.7384122783922,0.16,True,98.20684873421756,False,False,False,0,False
AEGISVOPAK.NS,2026-06-12,217.85000610351562,213.6999969482422,6.35299332115431,9.286203883752187,9.410144331260216,,57.89140343630658,4.6,True,69.46853146007625,False,False,False,0,True
AEGISVOPAK.NS,2026-06-15,231.69000244140625,219.0500030517578,2.205533495837342,4.924685373506743,,,65.25600620396429,1.38,True,76.42284059518126,False,False,False,0,True
AEGISVOPAK.NS,2026-06-16,236.8000030517578,234.0,0.5405400180747089,0.6545620911242223,,,69.62073713641742,1.47,True,83.10535883001165,False,False,False,0,True
AEGISVOPAK.NS,2026-06-18,243.10000610351562,241.52000427246094,-1.9539283754593462,,,,80.96305481688451,0.57,True,82.09703121762294,False,False,False,0,False
AGARWALEYE.NS,2026-05-21,481.1000061035156,469.75,-0.3637497355640118,-0.31178548762630376,-0.23903427185509862,-3.3464988358473335,67.19197507294197,10.16,True,73.79563470127928,False,False,False,5,True
AIAENG.NS,2026-05-26,4143.39990234375,4100.0,6.871173481262494,8.69334854955104,9.868704734786826,8.34339439736318,63.31721652648061,7.73,True,80.31452841284317,False,False,False,5,True
