Ticker,Date,RS_Rating,Close,Prev20High,RVOL,OBV_Up,MFI,VolSurge,Tight,BaseWeeks,StrictConfirm,HighQuality,R1,R3,R5,R10
360ONE.NS,2025-10-14,108.3,1114.5286865234375,1095.6350006223104,2.0,True,70.4451412893944,True,False,10,True,True,2.9910454502789063,3.390444413217253,4.32236072322032,0.5086077343818385
360ONE.NS,2025-10-15,108.3,1147.86474609375,1119.3757780392023,2.41,True,82.59798563513904,True,False,2,True,True,0.9824202291363937,1.9734544481580407,1.594279374875307,-3.025307689591794
360ONE.NS,2025-11-27,108.3,1159.866943359375,1151.7143367731571,0.31,False,64.47260235001073,False,True,4,False,True,1.4229453262229796,-0.31715610900445723,-3.3173255536155355,-2.640136481845745
360ONE.NS,2025-11-28,108.3,1176.3712158203125,1167.1248599527632,0.8,False,66.9228438977675,False,True,4,False,True,0.5155531905554511,-2.9665347526516284,-3.084862008089173,-3.4651840495731334
360ONE.NS,2025-12-01,108.3,1182.43603515625,1179.1551044107703,0.49,True,67.2849747368775,False,True,1,True,True,-2.2197970870021844,-5.1627024618552175,-5.13748183557432,-3.750109946651614
360ONE.NS,2026-04-17,108.3,1106.8746337890625,1082.2177574299374,1.79,True,69.40184665635735,True,False,0,True,True,-0.3637820585282614,-5.245658761930083,-6.619960017720395,-6.525093914905256
360ONE.NS,2026-05-25,108.3,1142.4000244140625,1134.9000244140625,1.33,True,72.63462071748397,False,True,3,True,True,-1.496846570421606,-2.6523151418581192,-5.567224634694656,-7.659313561804126
3MINDIA.NS,2025-07-22,103.1,30702.599609375,29822.7152242247,4.54,True,83.90712928508144,True,False,3,True,True,0.9446090394295004,1.7177711247094551,0.6917993698492664,0.4312351146466886
3MINDIA.NS,2025-08-07,103.1,32000.0,31900.0,2.57,True,81.76826750820075,True,False,3,True,True,-1.2031250000000049,-3.0468750000000044,-5.156249999999996,-4.531249999999998
3MINDIA.NS,2025-11-03,103.1,30700.0,30250.0,8.87,True,77.85231511071223,True,True,14,True,True,16.889250814332257,15.895765472312707,17.37785016286646,17.557003257328986
3MINDIA.NS,2025-11-04,103.1,35885.0,31085.0,30.38,True,95.94977347334978,True,False,14,True,True,-0.2647345687613156,0.3901351539640441,0.3344015605406092,0.2368677720496093
3MINDIA.NS,2026-01-02,103.1,36170.0,36065.0,1.51,True,70.5809869678254,True,True,8,True,True,0.5944152612662457,-3.580315178324578,-5.626209565938622,-4.769145700857069
