Ticker,Type,LTP,ATR,RSI,RVOL,EMA_Dist,RS_Rating,ROE,Mkt_Cap_Cr,Setup_Score,Sector,Sector_Score,Base_Weeks,Consol_Days,Vol_x,Stop_%,RR,Qty_1L_1pct,Risk_Grade,MACD,BB,VWAP,Divergence,Vol_Spike,_Support1,_Support2,_Resistance,Market_Bias,Market_Health,Macro_Score,Signal_Strength,Trend,Candle,Action,Pattern
MOTHERSON.NS,Pre-Breakout,145.54,4.14,56.2,1.2,2.7%,134.4,10.1,153271.5,9.0,N/A,5.0,3,15,0.8,4.3,2.0,161,B,—,—,✅,—,✅,142.83,117.97,151.77,Bearish,Risk-On,-1.2,9.8,Strong,Consolidating,🎯 Near Breakout,VCP-Tight
JSWSTEEL.NS,Pre-Breakout,1287.7,26.55,46.1,1.1,0.2%,119.1,27.3,314305.3,8.5,N/A,5.0,9,42,0.7,3.1,2.0,25,B,—,—,✅,—,✅,1288.79,1187.77,1328.0,Bearish,Risk-On,-1.2,9.8,Weak,Consolidating,💎 VCP Setup,"VCP-Tight, Vol-Dryup, MFI>60, Base-9W"
INDGN.NS,Pre-Breakout,532.4,14.54,63.9,1.7,3.0%,108.6,13.9,12794.5,8.4,N/A,5.0,6,31,1.2,4.1,2.0,45,B,✅,✅,✅,—,✅,516.98,513.93,536.45,Bearish,Risk-On,-1.2,9.8,Weak,Neutral,🎯 Near Breakout,"VCP-Tight, BB-KC Squeeze, OBV-Up, MFI>60, Base-6W"
KIMS.NS,Pre-Breakout,804.25,27.39,62.4,1.2,4.2%,121.4,9.7,32181.2,8.0,N/A,5.0,4,10,1.1,5.1,2.0,24,B,✅,✅,✅,Bearish,✅,772.95,692.27,811.0,Bearish,Risk-On,-1.2,9.8,Moderate,Bullish Engulfing,🎯 Near Breakout,"VCP-Tight, OBV-Up, MFI>60, Base-4W"
MANAPPURAM.NS,Pre-Breakout,318.65,10.43,51.6,1.4,2.2%,120.3,7.0,29931.9,7.8,N/A,5.0,1,5,0.9,4.9,2.0,63,B,✅,—,✅,—,✅,314.04,289.24,334.0,Bearish,Risk-On,-1.2,9.8,Moderate,Neutral,🎯 Near Breakout,"VCP-Tight, OBV-Up"
ELGIEQUIP.NS,Pre-Breakout,612.75,18.75,63.3,2.7,3.5%,129.6,21.0,19316.4,7.7,N/A,5.0,3,12,1.1,4.6,2.0,35,B,—,✅,✅,—,✅,593.62,503.17,633.85,Bearish,Risk-On,-1.2,9.8,Strong,Consolidating,🎯 Near Breakout,"Flag, VCP-Tight, OBV-Up, MFI>60"
CUMMINSIND.NS,Pre-Breakout,5865.0,137.46,62.0,1.0,3.6%,144.2,29.5,162577.8,7.7,N/A,5.0,3,14,0.7,3.5,2.0,4,B,✅,✅,✅,—,✅,5688.6,4579.96,6100.0,Bearish,Risk-On,-1.2,9.8,Strong,Consolidating,💎 VCP Setup,"VCP-Tight, Vol-Dryup, OBV-Up"
CEMPRO.NS,Pre-Breakout,1252.0,65.93,64.8,1.0,13.5%,193.9,28.2,21507.8,7.1,N/A,5.0,1,4,0.5,7.9,2.0,10,C,✅,✅,✅,Bearish,—,1096.64,767.68,1257.4,Bearish,Risk-On,-1.2,9.8,Strong,Strong Bullish,⚠️ STRETCHED,"VCP-Tight, Vol-Dryup, OBV-Up, MFI>60, Fakeout-Trap"
VIJAYA.NS,Pre-Breakout,1364.2,63.85,65.0,1.8,5.8%,143.2,19.7,14037.2,7.0,N/A,5.0,1,9,1.0,7.0,2.0,10,C,—,✅,✅,—,✅,1291.85,1049.77,1427.8,Bearish,Risk-On,-1.2,9.8,Moderate,Neutral,🎯 Near Breakout,"VCP-Tight, OBV-Up, MFI>60"
SUNPHARMA.NS,Pre-Breakout,1838.3,25.47,69.3,1.2,1.5%,108.6,14.7,441069.8,7.0,N/A,5.0,7,35,0.8,2.1,2.0,26,B,✅,✅,✅,—,✅,1807.65,1727.55,1916.6,Bearish,Risk-On,-1.2,9.8,Moderate,Consolidating,🎯 Near Breakout,"CupHandle, VCP-Tight, OBV-Up, MFI>60, Base-7W"
CGPOWER.NS,Pre-Breakout,963.7,26.3,69.4,1.2,5.3%,139.7,19.6,151780.8,7.0,N/A,5.0,3,16,0.9,4.1,2.0,25,B,✅,✅,✅,—,✅,917.3,734.87,969.9,Bearish,Risk-On,-1.2,9.8,Strong,Consolidating,🎯 Near Breakout,"Inside Bar, VCP-Tight, OBV-Up, MFI>60"
SAREGAMA.NS,Pre-Breakout,465.9,18.71,52.4,1.2,5.5%,116.9,12.6,8943.4,10.0,N/A,5.0,2,8,0.1,6.0,2.0,35,C,—,—,✅,—,—,445.04,391.47,485.0,Bearish,Risk-On,-1.2,9.2,Strong,Morning Star,💎 VCP Setup,"VCP-Tight, Vol-Dryup, OBV-Up"
ADANIENT.NS,Pre-Breakout,3038.4,78.53,62.6,2.2,4.7%,140.6,13.7,395823.5,8.0,N/A,5.0,3,17,1.4,3.9,2.0,8,B,—,✅,✅,—,✅,2943.61,2348.62,3059.8,Bearish,Risk-On,-1.2,9.2,Strong,Consolidating,🎯 Near Breakout,"Flag, VCP-Tight, OBV-Up, MFI>60"
MARICO.NS,Pre-Breakout,817.05,16.98,57.0,1.0,0.3%,114.3,41.4,105879.4,8.2,N/A,5.0,8,31,1.1,3.1,2.0,39,B,—,—,✅,—,✅,816.08,755.91,848.8,Bearish,Risk-On,-1.2,8.2,Moderate,Consolidating,🎯 Near Breakout,"VCP-Tight, Base-8W"
GODFRYPHLP.NS,Pre-Breakout,2271.0,62.39,51.8,0.9,0.5%,93.0,26.6,35423.5,9.7,N/A,5.0,4,21,0.5,4.1,2.0,10,B,—,—,✅,—,—,2260.48,2588.13,2375.4,Bearish,Risk-On,-1.2,7.8,Moderate,Consolidating,💎 VCP Setup,"VCP-Tight, Vol-Dryup, Base-4W"
